cur_topic,cur_subtopic
U1 Scientific Knowledge,Scientists and scientific ideas
U1 Scientific Knowledge,"Conducting research, evaluation of sources and bias"
U2 Investigating in Science,Questioning for scientific investigation
U2 Investigating in Science,Scientific hypothesis
U2 Investigating in Science,"Design, plan and conduct investigations"
U2 Investigating in Science,"Produce, select data. Critical analysis, observations and conclusions"
U2 Investigating in Science,Review and reflect
U2 Investigating in Science,Communicating Research
U3 Science in Society,Evaluating media and science and technology
U3 Science in Society,Scientists and their impact on society
U4 Biological reasoning,Appreciating models
U4 Biological reasoning,Explaining Biological phenomena
1.1 Characteristics of Life,Characteristics of Living things
1.1 Characteristics of Life,Viruses
1.1 Characteristics of Life,Domains of Life
1.1 Characteristics of Life,Classification of organisms
1.2 Chemicals of Life: Biomolecules,Biomolecules: Structure and metabolic roles
1.2 Chemicals of Life: Biomolecules,Minerals in Biological processes
1.2 Chemicals of Life: Biomolecules,Vitamins in Biological processes
1.2 Chemicals of Life: Biomolecules,Role of water in living organisms
1.2 Chemicals of Life: Biomolecules,Investigate qualitatively the presence of nutrients in a range of food samples
1.2 Chemicals of Life: Biomolecules,Investigate quantitatively the level of reducing sugars in a range of food samples
1.2 Chemicals of Life: Biomolecules,Structure and function of DNA and RNA
1.2 Chemicals of Life: Biomolecules,"Role of ATP, NAD and NADP"
1.2 Chemicals of Life: Biomolecules,"Relationship between genes, proteins and traits and the Genetic code"
1.3 Unit of Life: Cells,Complexity of multicellular organisms
1.3 Unit of Life: Cells,Prokaryotic v Eukaryotic cells
1.3 Unit of Life: Cells,Investigate structures and organelles of plant and animal cells and relate to their functions using light microscope and data from electron microscope
1.4 Information of Life: Genetic Inheritance,Structure of chromosomes and role of genes
1.4 Information of Life: Genetic Inheritance,Nuclear inheritance v non-nuclear inheritance
1.4 Information of Life: Genetic Inheritance,Genetic v epigenetic mechnanims
1.4 Information of Life: Genetic Inheritance,Monohybrid and dybrid crosses
1.4 Information of Life: Genetic Inheritance,Incomplete Dominance
1.4 Information of Life: Genetic Inheritance,Mendel's Laws
1.4 Information of Life: Genetic Inheritance,Second generation inheritance with homozygous and heterozygous parents
1.4 Information of Life: Genetic Inheritance,Linked genes
1.4 Information of Life: Genetic Inheritance,Sex determination
1.4 Information of Life: Genetic Inheritance,Sex -linked Traits
1.4 Information of Life: Genetic Inheritance,Benefits and limitations of Mendelian Genetics
1.5 Origins of Life: Evolution,Variations from sexual reproduction and mutations
1.5 Origins of Life: Evolution,Theory of Evolution by natural selection
1.5 Origins of Life: Evolution,Importance of theory to biology and evidence for evolution by natural selection
2.1 Enzymes,Function and importance of enzymes in biochemical reactions
2.1 Enzymes,Induced Fit model
2.1 Enzymes,Investigate factors affecting the rate of enzyme-catalysed reactions
2.1 Enzymes,"Enzyme use in industry, industrial applications and immobilised enzymes"
2.2 Cellular Processes: Photosynthesis and Respiration,Processes of aerobic/anaerobic respiration and photosynthesis
2.2 Cellular Processes: Photosynthesis and Respiration,Investigate factors affecting the rate of photosynthesis using primary and secondary data
2.2 Cellular Processes: Photosynthesis and Respiration,Investigate conditions necessary for fermentation using primary and secondary data
2.2 Cellular Processes: Photosynthesis and Respiration,Two stage process of photosynthesis and respiration - ref role of transfer molecules
2.2 Cellular Processes: Photosynthesis and Respiration,Significance of internal structures of mitochondria and chloroplasts in photosynthesis and respiration
2.3 Information of Life: Cell Division and Protein Synthesis,The cell cycle
2.3 Information of Life: Cell Division and Protein Synthesis,Mitosis v meiosis and transmitting genetic information
2.3 Information of Life: Cell Division and Protein Synthesis,DNA replication and mitosis in the cell cycle
2.3 Information of Life: Cell Division and Protein Synthesis,DNA replication and flow of information through mRNA to protein
2.3 Information of Life: Cell Division and Protein Synthesis,Transcription and translation
2.3 Information of Life: Cell Division and Protein Synthesis,Point and chromosomal mutations and examples
2.3 Information of Life: Cell Division and Protein Synthesis,Cancer development
2.3 Information of Life: Cell Division and Protein Synthesis,Preventing and treating cancer
2.4 Response,Structures and systems for response in humans and plants
2.4 Response,structure and function of axial and appendicular skeleton
2.4 Response,"Anatagonistic muscle pair, function of cartilage, synovial joints"
2.4 Response,Central nervous and peripheral nervous system
2.4 Response,Nervous v hormonal coordination
2.4 Response,structure of motor and sensory neuron and function
2.4 Response,Neurotransmitters at a synapse
2.4 Response,Impulse travel across a synaptic cleft and impacts of disruption
2.4 Response,dopamine and Endorphins in humans and lifestyle
2.4 Response,Location of major gland of endocrine system and associated hormones and their functions
2.4 Response,impact of hormones on organisms
2.4 Response,"Innate v acquired immunity, strategies to prevent and treat microbial diseases"
2.4 Response,Model viral replication in cells
2.4 Response,Role of white blood cells in immune response
2.4 Response,Exploration of factors contributing to emergence of infectious diseases in plants and animals
2.4 Response,Emerging diseases in society
2.5 Reproduction,Structure and function of male and female reproductive systems
2.5 Reproduction,Menstrual cycle and hormones
2.5 Reproduction,Pregnancy from zygote to birth
2.5 Reproduction,Hormones in human male and female reproductive systems
2.5 Reproduction,Advancements in prenatal and postnatal care
2.5 Reproduction,Strategies to control fertility and treatments for infertility
2.5 Reproduction,Structures and functions of insect and wind pollinated plants
2.5 Reproduction,Role of seeds in plant reproduction
